gene,full_log2FoldChange,full_pvalue,full_padj,eligible_fold_count,estimable_fold_count,direction_consistency_fraction,median_lodo_log2FoldChange,minimum_lodo_log2FoldChange,maximum_lodo_log2FoldChange,lodo_log2FoldChange_iqr,nominal_significant_fold_fraction,fdr_significant_fold_fraction,largest_effect_change_omitted_datasets,conserved,exclusion_reason
AC006369.1,0.364426255014718,0.0205334667358503,0.0336921105874834,10,10,0.9,0.36799458462252,-0.0207018405895918,0.801386818943515,0.17901843811233442,0.7,0.7,MMRF_ImmuneAtlas,False,omitted_dataset_direction_reversal
AC006369.2,4.92078344173417,0.0052349459374809,0.0097953241823719,10,9,0.8888888888888888,4.95138617875009,-0.0690792568481501,5.10101796596726,0.16971287700994964,0.7777777777777778,0.7777777777777778,MMRF_ImmuneAtlas,False,omitted_dataset_direction_reversal
AC006547.1,-0.193791707961593,0.493804716794001,0.555144271866967,10,10,0.6,-0.0714197266432724,-1.49900579096802,2.31405230104478,0.23652506921584132,0.2,0.1,MMRF_ImmuneAtlas,False,not_significant_in_full_unadjusted_analysis;direction_unstable;median_effect_below_threshold;omitted_dataset_direction_reversal
AC007014.1,-1.09291604145581,7.48227960486592e-06,2.27302584966003e-05,10,10,0.9,-0.9794117302638525,-3.7390477549144,1.10018289806502,0.20460955383282742,0.9,0.9,DISCO_ref,False,omitted_dataset_direction_reversal
AC007032.1,-2.18046334371503,5.58208327330929e-19,1.09396240991584e-17,10,9,1.0,-2.18826273605523,-3.05138072508878,-1.75037495871188,0.2175475427934197,1.0,1.0,DISCO_ref,True,
AC007038.2,-1.15711915629934,4.26676787570816e-06,1.3562598131748e-05,10,10,0.9,-1.132914006660455,-1.99741421277472,0.492401391111589,0.2657589210666349,0.9,0.9,MMRF_ImmuneAtlas,False,omitted_dataset_direction_reversal
AC007193.1,-3.8095683999954,6.23904703990777e-38,8.339526210010049e-36,10,9,1.0,-3.84248688788267,-4.00383453606809,-3.51109729791463,0.06399398000577028,1.0,1.0,NBM_66k,True,
AC007216.4,1.80326305641454,1.67506040307219e-10,1.03338341789531e-09,10,10,1.0,1.892189784755495,0.163686066387058,2.1855905863105,0.1932741263726101,0.9,0.9,MMRF_ImmuneAtlas,True,
AC007292.2,-0.740165023371495,0.0268325102641483,0.042960035628687,10,8,1.0,-0.7405371196579651,-1.26636594138589,-0.449792307558293,0.06890928320123202,0.75,0.5,DISCO_ref,True,
AC007349.3,0.0765971778419331,0.826758238182046,0.858372972643498,10,9,0.8888888888888888,0.0839507317878808,-1.1352735671185,0.367177075824534,0.11650057176379681,0.1111111111111111,0.1111111111111111,DISCO_ref,False,not_significant_in_full_unadjusted_analysis;median_effect_below_threshold;omitted_dataset_direction_reversal
AC007365.1,-1.63314170707955,5.73551083989159e-09,2.87216311319451e-08,10,9,1.0,-1.62830293300207,-1.99035917084537,-1.24576600816495,0.05975784401628004,1.0,1.0,NBM_66k,True,
AC007383.2,-0.459153077031365,0.0261970684309484,0.0420848436765899,10,10,1.0,-0.464117178183092,-1.55978876875925,-0.151173947311781,0.44488308662095005,0.6,0.6,MMRF_ImmuneAtlas,True,
AC007384.1,-0.457699145254151,0.0043774613353691,0.0082770061448237,10,10,1.0,-0.4505202057554855,-1.1432523748397,-0.223405514787519,0.23696531974657276,0.7,0.6,GSE194122_BMMC,True,
AC007569.1,-0.024984838350573,0.938165005006489,0.95056446474224,10,10,0.4,0.10340505044361151,-1.31044250972259,0.692919089101953,0.17834505849624788,0.1,0.1,GSE194122_BMMC,False,not_significant_in_full_unadjusted_analysis;direction_unstable;median_effect_below_threshold;omitted_dataset_direction_reversal
AC007613.1,-3.03880906773859,3.3806966994614505e-52,1.6021428994811399e-49,10,10,1.0,-3.0469786316537,-3.90982074948124,-1.08274457416019,0.23215574030489483,1.0,0.9,MMRF_ImmuneAtlas,True,
AC007622.2,1.37221180778932,2.19971491272732e-05,6.19843991353921e-05,10,8,1.0,1.47630087118028,0.622281623344671,1.75973962516757,0.17548549700902982,0.875,0.875,MMRF_ImmuneAtlas,True,
