sample	group	dataset	n_cells
BIOREP_9d4deadb1c2c9286	NDMM	MMRF_ImmuneAtlas	122
BIOREP_f7f16efff980a0ea	NDMM	MMRF_ImmuneAtlas	184
BIOREP_d9b92ae9aa770b50	NDMM	MMRF_ImmuneAtlas	506
BIOREP_1b188b564f5d51a7	NDMM	MMRF_ImmuneAtlas	320
BIOREP_ca73f09273cde660	NDMM	MMRF_ImmuneAtlas	294
BIOREP_832a620de3e5db11	NDMM	MMRF_ImmuneAtlas	178
BIOREP_35e2cb05c7e4e61f	NDMM	MMRF_ImmuneAtlas	361
BIOREP_b7e506ec2ad9ee26	NDMM	MMRF_ImmuneAtlas	172
BIOREP_eac929702557ba96	NDMM	MMRF_ImmuneAtlas	950
BIOREP_bc1a0b0b0bc99cfd	NDMM	MMRF_ImmuneAtlas	331
BIOREP_ecfb981d1fc1c709	NDMM	MMRF_ImmuneAtlas	713
BIOREP_4e7062f208698bac	NDMM	MMRF_ImmuneAtlas	664
BIOREP_9d2d0c4550128a66	NDMM	MMRF_ImmuneAtlas	471
BIOREP_7ab165f5dc138c53	NDMM	MMRF_ImmuneAtlas	117
BIOREP_15ab4b49da72eb17	NDMM	MMRF_ImmuneAtlas	281
BIOREP_faa3db8e7466a05c	NDMM	MMRF_ImmuneAtlas	402
BIOREP_3468ce783bc70bb4	NDMM	MMRF_ImmuneAtlas	804
BIOREP_e0a078a716c30751	NDMM	MMRF_ImmuneAtlas	1078
BIOREP_3d226f6929ddde48	NDMM	MMRF_ImmuneAtlas	184
BIOREP_62add81a8a3ab261	NDMM	MMRF_ImmuneAtlas	429
BIOREP_2f0a6d614ec95b3c	NDMM	MMRF_ImmuneAtlas	249
BIOREP_03f343db64eaf9d1	NDMM	MMRF_ImmuneAtlas	618
BIOREP_a20084081ab5790d	NDMM	MMRF_ImmuneAtlas	120
BIOREP_06129138aa0b38fe	NDMM	MMRF_ImmuneAtlas	261
BIOREP_66eac1195c203d70	NDMM	MMRF_ImmuneAtlas	373
BIOREP_4faf94065a24a611	NDMM	MMRF_ImmuneAtlas	170
BIOREP_aa82f6503c551ffd	NDMM	MMRF_ImmuneAtlas	129
BIOREP_5e4e678bbf94a587	NDMM	MMRF_ImmuneAtlas	395
BIOREP_37e6d50b334ec8d5	NDMM	MMRF_ImmuneAtlas	537
BIOREP_3a0faae07b933ca9	NDMM	MMRF_ImmuneAtlas	323
BIOREP_ee10ca98c33b5fe0	NDMM	MMRF_ImmuneAtlas	158
BIOREP_79571833525afa93	NDMM	MMRF_ImmuneAtlas	855
