gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	signed_statistic	significant	direction
BRCA2	8.08647283713033	0.307749996578339	0.156150470751684	1.97085538773517	0.0487404192087228	0.0733075029818442	1.97085538773517	False	higher_in_group_a
BRD1	65.5881472082252	-0.597922988596949	0.10477822911762	-5.70655749416934	1.15283977486719e-08	5.54405327157073e-08	-5.70655749416934	True	higher_in_group_b
BRD9	69.2946196982297	-0.353182717497636	0.0586186247893708	-6.02509388042959	1.69011491604717e-09	9.05505555740382e-09	-6.02509388042959	True	higher_in_group_b
BRI3	71.6567738514716	-0.0104288606880888	0.0940606267546582	-0.110873816685177	0.911716408821175	0.928639632509727	-0.110873816685177	False	higher_in_group_b
BRICD5	2.38220725587466	-0.197214140750812	0.177362920076096	-1.11192429999573	0.266170699674202	0.326558686138294	-1.11192429999573	False	higher_in_group_b
BRIP1	3.19371106627607	0.749632774681507	0.185997358160602	4.03034097954352	5.56959985303402e-05	0.0001472328804962	4.03034097954352	True	higher_in_group_a
BRSK1	0.841011871071489	0.605343806156642	0.256907067205858	2.35627541406474	0.018459225968483	0.0307143137483888	2.35627541406474	True	higher_in_group_a
BRSK2	0.68373769097733	-1.11570735559448	0.304950218852326	-3.65865405768004	0.0002535433120702	0.0005964446235659	-3.65865405768004	True	higher_in_group_b
BSCL2	11.9073865034555	-0.407547497888299	0.151007015592658	-2.69886466061723	0.0069576465013265	0.0126863278109183	-2.69886466061723	True	higher_in_group_b
BSG	148.960229890548	0.805132633384173	0.071121653982049	11.3204992896733	1.03878589190415e-29	5.8860770157569e-28	11.3204992896733	True	higher_in_group_a
BST1	1.13955644264829	1.58397312728802	0.390612297531869	4.05510307099019	5.01122009569377e-05	0.0001332831140757	4.05510307099019	True	higher_in_group_a
BST2	185.237424035806	-0.185387306301099	0.0883696239269655	-2.097862342996	0.035917307369778	0.0555599178987099	-2.097862342996	False	higher_in_group_b
BTBD11	5.28568130740765	0.869121293169733	0.24865033507099	3.49535540710853	0.0004734308887763	0.0010721091325764	3.49535540710853	True	higher_in_group_a
BTBD18	0.352034543548236	-0.308185232401015	0.318480589200174	-0.967673518737784	0.333207447471045	0.397212536854919	-0.967673518737784	False	higher_in_group_b
BTBD19	0.856355747310452	0.412544345769847	0.278363868611149	1.48203266403851	0.138331603884383	0.184145469710846	1.48203266403851	False	higher_in_group_a
BTBD3	0.525803091434997	2.09513436379599	0.504397017621156	4.15374058648699	3.27083969790903e-05	8.93184250665259e-05	4.15374058648699	True	higher_in_group_a
BTG1	1530.48672498947	0.267120914614821	0.080480488083061	3.31907672253596	0.0009031561147825	0.0019487387526331	3.31907672253596	True	higher_in_group_a
BTG2	285.282816679622	-0.211349473109562	0.137225450925081	-1.54016235096905	0.123520784498038	0.166730670530366	-1.54016235096905	False	higher_in_group_b
BTLA	4.61363502948945	0.159910189054055	0.187517483941892	0.852774822339279	0.393784188773848	0.456989531629134	0.852774822339279	False	higher_in_group_a
