gene,full_log2FoldChange,full_pvalue,full_padj,eligible_fold_count,estimable_fold_count,direction_consistency_fraction,median_lodo_log2FoldChange,minimum_lodo_log2FoldChange,maximum_lodo_log2FoldChange,lodo_log2FoldChange_iqr,nominal_significant_fold_fraction,fdr_significant_fold_fraction,largest_effect_change_omitted_datasets,conserved,exclusion_reason
AC009148.1,-1.12423336790922,0.0004045243205299,0.0009224782514973,10,8,1.0,-1.124980298344455,-1.66929620593865,-0.821559878860136,0.057393716320210064,1.0,1.0,DISCO_ref,True,
AC009163.7,-3.13155870573672,2.8644399610373396e-36,3.3937103447472e-34,10,9,1.0,-3.14320417601953,-3.83030534153571,-2.70505509571667,0.20873728659387014,1.0,1.0,DISCO_ref,True,
AC009226.1,1.78812920122082,0.0233347840740987,0.037957055196684,10,8,1.0,1.906219187763375,1.02553391924322,2.0775433087449,0.17068666139507016,0.875,0.875,MMRF_ImmuneAtlas,True,
AC009228.1,-1.77473486522799,3.02058394855278e-11,2.0135938777245101e-10,10,9,1.0,-1.76713901898083,-2.39090554636629,-1.34028703879064,0.06574878239639004,1.0,1.0,DISCO_ref,True,
AC009275.1,-1.63070160265802,3.09709660333196e-08,1.39422837592138e-07,10,9,1.0,-1.64136234084785,-2.16301865551953,-1.27534505230588,0.07684279853848985,1.0,1.0,DISCO_ref,True,
AC009501.1,5.621921785745,0.0001985684239363,0.0004790084192411,10,9,1.0,5.73008609466398,5.08918131848157,5.88411357263205,0.1611271074073608,1.0,1.0,MMRF_ImmuneAtlas,True,
AC009505.1,3.24786416366185,0.0061474751063643,0.0113359701908304,10,9,1.0,3.39019212182235,2.60291487082919,3.83591783849714,0.24316037701448012,0.8888888888888888,0.8888888888888888,MMRF_ImmuneAtlas,True,
AC009554.1,4.60822682865423,5.159649753449999e-19,1.01883538502784e-17,10,9,1.0,4.72029249059639,4.45130777106899,5.14850664838911,0.22598522007498012,1.0,1.0,DISCO_ref,True,
AC009812.3,-1.06525452802435,0.0019094847302827,0.0039020556248389,10,8,1.0,-1.0652041034861899,-1.64293304215404,-0.770963236120802,0.05517861781303757,1.0,0.875,DISCO_ref,True,
AC010149.1,3.78959705542499,0.0067476193820196,0.0123233207183135,10,8,1.0,3.86118529864034,3.31913248199985,4.07026293895566,0.19487559374084773,1.0,0.875,MMRF_ImmuneAtlas,True,
