program_id	feature_set_id	cell_state	condition_a	condition_b	contrast	contrast_direction	feature_direction	statistic_orientation	signed_statistic_name	tf	source_capability_id	source_cache_key	number_of_estimable_resources	estimable_resources	number_of_significant_supporting_resources	supporting_resources	resource_activity_scores	resource_directions	minimum_adjusted_p_value	median_consensus_activity_score	mean_consensus_activity_score	minimum_absolute_supporting_score	strongest_absolute_activity_score	consensus_direction	directional_consensus_status	consensus_threshold_used	directional_discordance_status	any_resource_discordance_status	resource_discordance_reasons
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	NFE2L2	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	1	CollecTRI	0		"{""CollecTRI"":2.2913558221244905}"	"{""CollecTRI"":""not_significant""}"	0.24303356894016592					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	TFAP2A	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.269509288623703,""DoRothEA"":2.041561938441822}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.24929665038103827					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	STAT6	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	1	CollecTRI	0		"{""CollecTRI"":2.255259282951668}"	"{""CollecTRI"":""not_significant""}"	0.25087318431799821					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	E2F1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.1922877076041787,""DoRothEA"":2.729659943579419}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.26024534999907528					unresolved	False	2	False	True	inconsistent_target_overlap
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	FOXP1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	1	DoRothEA	0		"{""DoRothEA"":-2.7724711439060665}"	"{""DoRothEA"":""not_significant""}"	0.26024534999907528					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	STAT3	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.2138087083697524,""DoRothEA"":1.2331082994549003}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.26320229451444799					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	STAT5A	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.21799879224868,""DoRothEA"":0.060910435959122634}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.26320229451444799					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	MITF	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	1	CollecTRI	0		"{""CollecTRI"":2.188494763245015}"	"{""CollecTRI"":""not_significant""}"	0.26555781315039284					unresolved	False	2	False	True	inconsistent_target_overlap;major_regulon_coverage_difference;resource_estimability_difference
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	RBPJ	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	2	CollecTRI;DoRothEA	0		"{""CollecTRI"":2.1335138141705623,""DoRothEA"":1.222748877431376}"	"{""CollecTRI"":""not_significant"",""DoRothEA"":""not_significant""}"	0.28201351484226428					unresolved	False	2	False	True	inconsistent_target_overlap
GZMB CD8 T cell:NBM-NDMM	exploratory_lodo_conserved_features	GZMB CD8 T cell	NBM	NDMM	NBM − NDMM	group_a_minus_group_b	signed_statistic	condition_a_minus_condition_b	full_unadjusted_DESeq2_log2FoldChange	SMARCA1	CAP-DESEQ-003	2564b7e31a39edfe2f0805880813067806936b0c00ec9e8f96eda914cd590f04	1	CollecTRI	0		"{""CollecTRI"":2.134793007754306}"	"{""CollecTRI"":""not_significant""}"	0.28201351484226428					unresolved	False	2	False	False	
